userid,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
519,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Others",2,Several times a week,Comedy,Conversational,Both,Longer,Satisfied
520,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours,Study Hours, While Traveling, leisure time","Playlists, Radio",3,Never,None,None,None,None,Ok
1,2023-07-01,20-35,Female,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3,Daily,Comedy,Interview,Both,Both,Ok
2,2023-07-01,12-20,Male,More than 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Social gatherings or parties,Workout session,Playlists,2,Several times a week,Comedy,Interview,Both,None,Satisfied
3,2023-07-01,35-60,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Pop,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4,Once a week,Sports,Interview,None,Both,Satisfied
4,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
5,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok
6,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,Workout session,Others,3,Never,None,None,None,None,Ok
7,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,Office hours,recommendations,3,Never,None,None,None,None,Ok
8,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Social gatherings or parties,leisure time,recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
9,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
10,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Never,None,None,None,None,Ok
11,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied
12,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Several times a week,Comedy,Interview,Both,Shorter,Ok
13,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,Office hours,Playlists,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
14,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
15,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Pop,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied
16,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2,Never,None,None,None,None,Very Dissatisfied
17,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied
18,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Social gatherings or parties,Social gatherings,recommendations,4,Never,None,None,None,None,Ok
19,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,None,None,None,None,Ok
20,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4,Never,None,None,None,Shorter,Ok
21,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
22,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,"Classical & melody, dance",Morning,Relaxation and stress relief,Office hours,recommendations,5,Never,None,None,None,None,Ok
23,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied
26,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4,Never,None,None,None,None,Ok
28,2023-07-01,35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Old songs,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,None,None,None,None,Very Dissatisfied
29,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4,Never,None,None,None,None,Ok
30,2023-07-01,20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied
31,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied
32,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
33,2023-07-01,12-20,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3,Never,None,None,None,None,Ok
34,2023-07-01,12-20,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Comedy,Conversational,Both,Both,Ok
35,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
36,2023-07-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Rap,Night,Uplifting and motivational,Workout session,Others,1,Never,None,None,None,None,Ok
37,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3,Several times a week,Business,Story telling,Both,Shorter,Ok
38,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
39,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
40,2023-07-01,12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3,Rarely,None,Interview,Both,Shorter,Ok
41,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4,Rarely,Comedy,None,Both,Shorter,Ok
42,2023-07-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Rarely,None,Conversational,Both,Both,Ok
43,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied
44,2023-07-01,12-20,Male,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied
45,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling,","recommendations, Playlists",5,Once a week,Comedy,Story telling,None,Both,Satisfied
46,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5,Never,None,None,None,None,Ok
47,2023-07-01,12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok
48,2023-07-01,35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied
49,2023-07-01,20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3,Once a week,Comedy,None,Well known individuals,Shorter,Ok
51,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied
52,2023-07-01,12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,Others,4,Once a week,Comedy,Story telling,Both,Shorter,Ok
53,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,Others,4,Never,None,None,None,None,Ok
54,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied
55,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Radio",3,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
56,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,All,Morning,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,5,Never,None,None,None,None,Ok
57,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,classical,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",Playlists,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok
58,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Once a week,Comedy,Story telling,None,None,Satisfied
59,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Morning,Relaxation and stress relief,"While Traveling, Workout session","recommendations, Playlists",4,Daily,Comedy,Story telling,Both,Shorter,Satisfied
61,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time",recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied
62,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,leisure time,Others,3,Never,None,None,None,None,Ok
63,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Sports,Story telling,Both,Shorter,Ok
64,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied
65,2023-07-01,12-20,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,None,Music,Rap,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
66,2023-07-01,20-35,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Others",3,Never,None,None,None,None,Ok
69,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4,Never,Food and cooking,Story telling,Both,Shorter,Ok
70,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Never,None,None,None,None,Ok
71,2023-07-01,20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied
72,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Afternoon,Uplifting and motivational,While Traveling,Playlists,3,Never,None,None,None,None,Ok
73,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
74,2023-07-01,20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Morning,Social gatherings or parties,"Office hours, While Traveling, leisure time",Others,2,Rarely,Comedy,Conversational,Both,Both,Ok
77,2023-07-01,20-35,Female,More than 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sadness or melancholy,Study Hours,recommendations,2,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied
78,2023-07-01,35-60,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,Social gatherings or parties,Workout session,Radio,5,Once a week,Comedy,Educational,None,Shorter,Ok
79,2023-07-01,12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied
80,2023-07-01,12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied
81,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,4,Never,None,None,None,None,Ok
82,2023-07-01,12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation and stress relief,Study Hours,Radio,3,Once a week,Food and cooking,Story telling,Well known individuals,Shorter,Ok
83,2023-07-01,35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Daily,Comedy,Conversational,Well known individuals,Shorter,Satisfied
84,2023-07-01,12-20,Others,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Uplifting and motivational,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
85,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Several times a week,Comedy,None,Both,Shorter,Ok
86,2023-07-01,20-35,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Sadness or melancholy,While Traveling,Playlists,3,Several times a week,Sports,Interview,Both,Both,Very Satisfied
87,2023-07-01,12-20,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,None,Podcast,Rap,Afternoon,Uplifting and motivational,Study Hours,Others,3,Once a week,Sports,Conversational,unknown Podcasters,Both,Ok
88,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,None,None,None,None,Ok
89,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,Relaxation and stress relief,Office hours,Playlists,5,Several times a week,Comedy,Educational,Well known individuals,Both,Very Satisfied
90,2023-07-01,35-60,Others,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),No,None,Podcast,classical,Morning,Uplifting and motivational,While Traveling,recommendations,4,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied
91,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking","recommendations, Playlists, Others",5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
93,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,None,None,None,None,Ok
94,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,Very Satisfied
95,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Food and cooking,Story telling,None,None,Ok
96,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3,Rarely,Everything,Story telling,Well known individuals,Both,Ok
97,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,Sports,None,Both,Shorter,Ok
98,2023-07-01,20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3,Never,None,None,None,None,Ok
102,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,None,Story telling,None,None,Ok
103,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Afternoon,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
104,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,None,None,None,None,Ok
105,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3,Rarely,None,Interview,None,None,Ok
106,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,4,Never,None,Educational,Both,Shorter,Satisfied
107,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4,Never,None,None,None,None,Ok
108,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
109,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
111,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Several times a week,None,None,None,None,Ok
112,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,"recommendations, Playlists",4,Rarely,None,None,None,None,Ok
113,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,None,Interview,None,None,Ok
114,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Kpop,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session","recommendations, Playlists",5,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
115,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,4,Never,None,None,None,None,Ok
116,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
119,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok
120,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational",leisure time,Playlists,1,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Dissatisfied
121,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
122,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
123,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
124,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
125,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
126,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Conversational,unknown Podcasters,Both,Dissatisfied
127,2023-07-01,12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
128,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Others",4,Never,None,None,None,None,Ok
129,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
