userid,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,Recency,Frequency,Monetary,Monetary_score,Recency_score,RFM_score,Grade
94,2023-07-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,Very Satisfied,,0,0,0,0,0,무료회원
95,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Food and cooking,Story telling,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
96,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3,Rarely,Everything,Story telling,Well known individuals,Both,Ok,,0,0,0,0,0,무료회원
97,2023-07-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,Sports,,Both,Shorter,Ok,,0,0,0,0,0,무료회원
98,2023-07-01,20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
99,2023-07-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied,2023-07-01,4,240000,4,6,644,잠재충성고객
100,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Never,,,,,Ok,2023-07-01,3,180000,3,6,633,잠재충성고객
101,2023-07-01,20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,,Story telling,,,Very Satisfied,2023-07-01,4,240000,4,6,644,잠재충성고객
102,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,,Story telling,,,Ok,,0,0,0,0,0,무료회원
103,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Afternoon,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied,,0,0,0,0,0,무료회원
104,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,,,,,Ok,,0,0,0,0,0,무료회원
105,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3,Rarely,,Interview,,,Ok,2023-05-01,1,60000,1,4,411,신규고객
106,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,4,Never,,Educational,Both,Shorter,Satisfied,2023-05-01,1,60000,1,4,411,신규고객
107,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4,Never,,,,,Ok,2023-05-01,1,60000,1,4,411,신규고객
108,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4,Rarely,,Educational,Well known individuals,Shorter,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
109,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,2023-05-01,1,60000,1,4,411,신규고객
110,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied,2023-07-01,6,360000,6,6,666,충성고객
111,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Several times a week,,,,,Ok,2023-04-01,1,60000,1,3,311,휴면고객
112,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,"recommendations, Playlists",4,Rarely,,,,,Ok,2023-04-01,1,60000,1,3,311,휴면고객
113,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,,Interview,,,Ok,2023-04-01,1,60000,1,3,311,휴면고객
114,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Kpop,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session","recommendations, Playlists",5,Once a week,Comedy,Conversational,,Shorter,Very Satisfied,2023-04-01,1,60000,1,3,311,휴면고객
115,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,4,Never,,,,,Ok,2023-04-01,1,60000,1,3,311,휴면고객
116,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied,2023-06-01,2,120000,2,5,522,관심필요고객
117,2023-07-01,20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,,,,,Ok,2023-07-01,6,360000,6,6,666,충성고객
118,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok,2023-07-01,6,360000,6,6,666,충성고객
119,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok,,0,0,0,0,0,무료회원
120,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational",leisure time,Playlists,1,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Dissatisfied,,0,0,0,0,0,무료회원
121,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,,,,,Ok,,0,0,0,0,0,무료회원
122,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok,,0,0,0,0,0,무료회원
123,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,2023-05-01,1,60000,1,4,411,신규고객
124,2023-07-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied,2023-05-01,1,60000,1,4,411,신규고객
125,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4,Never,,,,,Ok,2023-05-01,1,60000,1,4,411,신규고객
126,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Podcast,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Conversational,unknown Podcasters,Both,Dissatisfied,2023-06-01,2,120000,2,5,522,관심필요고객
127,2023-07-01,12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied,2023-05-01,1,60000,1,4,411,신규고객
128,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Others",4,Never,,,,,Ok,2023-05-01,1,60000,1,4,411,신규고객
129,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,,0,0,0,0,0,무료회원
130,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied,,0,0,0,0,0,무료회원
131,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Health and Fitness,Conversational,Both,Shorter,Ok,,0,0,0,0,0,무료회원
132,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3,Never,,,,,Ok,,0,0,0,0,0,무료회원
133,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
134,2023-07-01,20-35,Female,Less than 6 months,Wearable devices,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Others",3,Never,,,,,Ok,,0,0,0,0,0,무료회원
135,2023-07-01,20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,,,,,Ok,,0,0,0,0,0,무료회원
136,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",5,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied,,0,0,0,0,0,무료회원
137,2023-07-01,35-60,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Uplifting and motivational,"While Traveling, Workout session, leisure time",Playlists,4,Never,,,,,Ok,,0,0,0,0,0,무료회원
138,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Food and cooking,Interview,Well known individuals,Shorter,Very Satisfied,2023-06-01,1,60000,1,5,511,신규고객
139,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,,Music,Rock,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
140,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied,2023-06-01,1,60000,1,5,511,신규고객
141,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Daily,Health and Fitness,Story telling,Both,Both,Satisfied,2023-07-01,4,240000,4,6,644,잠재충성고객
142,2023-07-01,35-60,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Several times a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied,2023-06-01,1,60000,1,5,511,신규고객
143,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Podcast,Melody,Night,Relaxation and stress relief,leisure time,"Radio, Others",4,Rarely,Lifestyle and Health,Educational,Both,Both,Satisfied,2023-06-01,1,60000,1,5,511,신규고객
144,2023-07-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","Radio, Others",3,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied,2023-07-01,4,240000,4,6,644,잠재충성고객
145,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",recommendations,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok,,0,0,0,0,0,무료회원
146,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Comedy,Interview,Both,Shorter,Satisfied,,0,0,0,0,0,무료회원
147,2023-07-01,12-20,Male,More than 2 years,Smartphone,Premium (paid subscription),No,,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Rarely,Comedy,Story telling,Both,Both,Ok,2023-07-01,4,240000,4,6,644,잠재충성고객
148,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,,,,,Ok,,0,0,0,0,0,무료회원
149,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Others,4,Rarely,Sports,Educational,unknown Podcasters,Both,Ok,,0,0,0,0,0,무료회원
150,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,5,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,,0,0,0,0,0,무료회원
151,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",4,Never,,,,,Ok,,0,0,0,0,0,무료회원
152,2023-07-01,20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Uplifting and motivational,Workout session,Radio,3,Rarely,Food and cooking,Educational,Well known individuals,Both,Satisfied,,0,0,0,0,0,무료회원
153,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,While Traveling,"recommendations, Playlists",5,Never,,,,,Ok,2023-06-01,1,60000,1,5,511,신규고객
154,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Rarely,Food and cooking,Conversational,Both,Shorter,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
155,2023-07-01,20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Pop,Night,Uplifting and motivational,Study Hours,recommendations,3,Several times a week,Sports,Conversational,Well known individuals,Longer,Very Satisfied,2023-07-01,5,300000,5,6,655,충성고객
156,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Both,Shorter,Ok,2023-06-01,1,60000,1,5,511,신규고객
157,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,,,Ok,2023-07-01,5,300000,5,6,655,충성고객
158,2023-07-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,classical,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Sports,,Well known individuals,Shorter,Ok,2023-06-01,1,60000,1,5,511,신규고객
159,2023-07-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,,,,,Ok,2023-06-01,2,120000,2,5,522,관심필요고객
160,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Daily,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied,,0,0,0,0,0,무료회원
161,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling","Radio, Others",4,Several times a week,Sports,Educational,Both,Longer,Satisfied,,0,0,0,0,0,무료회원
162,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,,,,,Ok,2023-07-01,6,360000,6,6,666,충성고객
163,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Pop,Morning,Uplifting and motivational,"While Traveling, Workout session","recommendations, Playlists",4,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,2023-03-01,1,60000,1,2,211,휴면고객
164,2023-07-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok,2023-03-01,1,60000,1,2,211,휴면고객
165,2023-07-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,5,Several times a week,Comedy,Interview,Well known individuals,Shorter,Very Satisfied,,0,0,0,0,0,무료회원
166,2023-07-01,12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Sadness or melancholy,While Traveling,Radio,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied,2023-03-01,1,60000,1,2,211,휴면고객
167,2023-07-01,20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,"Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session","Playlists, Radio",3,Once a week,Sports,Interview,Well known individuals,Shorter,Satisfied,2023-07-01,5,300000,5,6,655,충성고객
168,2023-07-01,12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok,2023-07-01,5,300000,5,6,655,충성고객
169,2023-07-01,12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,2023-04-01,1,60000,1,3,311,휴면고객
170,2023-07-01,12-20,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Educational,Both,Both,Satisfied,2023-04-01,1,60000,1,3,311,휴면고객
171,2023-07-01,20-35,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),No,,Podcast,classical,Morning,Uplifting and motivational,While Traveling,"Radio, Others",2,Several times a week,Lifestyle and Health,Story telling,Both,Shorter,Ok,2023-04-01,1,60000,1,3,311,휴면고객
172,2023-07-01,20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2,Several times a week,Food and cooking,Story telling,unknown Podcasters,Longer,Ok,2023-04-01,1,60000,1,3,311,휴면고객
173,2023-07-01,12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),No,,Podcast,classical,Afternoon,Sadness or melancholy,"Study Hours, While Traveling","Playlists, Others",4,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,2023-07-01,5,300000,5,6,655,충성고객
174,2023-07-01,6-12,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,"Study Hours, While Traveling","Playlists, Radio",2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Ok,2023-07-01,5,300000,5,6,655,충성고객
175,2023-07-01,20-35,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok,,0,0,0,0,0,무료회원
176,2023-07-01,35-60,Male,6 months to 1 year,Computer or laptop,Free (ad-supported),No,,Podcast,Melody,Morning,Sadness or melancholy,Workout session,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Dissatisfied,2023-06-01,1,60000,1,5,511,신규고객
177,2023-07-01,12-20,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"While Traveling, Workout session","Playlists, Radio",3,Several times a week,Food and cooking,Interview,unknown Podcasters,Longer,Ok,2023-06-01,1,60000,1,5,511,신규고객
178,2023-07-01,12-20,Female,1 year to 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,"While Traveling, leisure time","Playlists, Others",2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied,2023-07-01,4,240000,4,6,644,잠재충성고객
179,2023-07-01,20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, Workout session","Playlists, Radio",2,Once a week,Sports,Story telling,Both,Longer,Ok,2023-06-01,1,60000,1,5,511,신규고객
180,2023-07-01,20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Relaxation and stress relief,While Traveling,"Radio, Others",3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok,2023-06-01,1,60000,1,5,511,신규고객
181,2023-07-01,35-60,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Afternoon,Uplifting and motivational,"Study Hours, Workout session",Radio,2,Rarely,Health and Fitness,Interview,unknown Podcasters,Longer,Ok,,0,0,0,0,0,무료회원
182,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,classical,Morning,Uplifting and motivational,While Traveling,Playlists,3,Once a week,Health and Fitness,Educational,Both,Both,Ok,,0,0,0,0,0,무료회원
183,2023-07-01,12-20,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy",Workout session,Others,4,Rarely,Sports,Story telling,Both,Longer,Dissatisfied,,0,0,0,0,0,무료회원
184,2023-07-01,35-60,Others,More than 2 years,Wearable devices,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Electronic/Dance,Morning,Uplifting and motivational,"Study Hours, Workout session","Playlists, Radio, Others",2,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied,2023-07-01,4,240000,4,6,644,잠재충성고객
185,2023-07-01,20-35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),No,,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Playlists,2,Several times a week,Lifestyle and Health,Conversational,Both,Both,Dissatisfied,,0,0,0,0,0,무료회원
186,2023-07-01,20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,,Podcast,classical,Morning,Social gatherings or parties,While Traveling,recommendations,2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Very Satisfied,2023-06-01,1,60000,1,5,511,신규고객
187,2023-07-01,35-60,Female,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),No,,Music,Melody,Night,Social gatherings or parties,While Traveling,Others,2,Once a week,Health and Fitness,Educational,unknown Podcasters,Longer,Ok,2023-07-01,3,180000,3,6,633,잠재충성고객
